Date,Message
2026-04-10T01:00:00.000+03:00,"2026-01-25 18:00, 5008.85, 5111.23, 4989.92, 5008.22, 558324, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-01-26 18:00, 5022.86, 5190.21, 5013.76, 5181.14, 547434, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-01-27 18:00, 5172.51, 5419.1, 5157.15, 5417.51, 585528, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-01-28 18:00, 5422.61, 5597.91, 5098.65, 5370.5, 630476, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-01-29 18:00, 5400.04, 5450.96, 4681.35, 4882.54, 660494, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-01 18:00, 4781.13, 4884.79, 4402.72, 4660.02, 657197, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-02 18:00, 4677.34, 4993.7, 4677.32, 4946.65, 604547, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-03 18:00, 4962.55, 5091.93, 4853.42, 4964.5, 547910, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-04 18:00, 4980.35, 5023.76, 4759.82, 4779.25, 597799, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-05 18:00, 4761.51, 4971.43, 4654.86, 4960.75, 521626, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-08 18:00, 4990.56, 5086.28, 4964.97, 5058.18, 481678, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-09 18:00, 5067.96, 5078.54, 4987.25, 5025.21, 466371, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-10 18:00, 5027.37, 5118.92, 5017.79, 5084.42, 449096, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-11 18:00, 5096.67, 5099.96, 4878.61, 4921.8, 450757, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-12 18:00, 4889.84, 5046.09, 4887.12, 5042.83, 450580, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-15 18:00, 5035.13, 5035.41, 4965.21, 4993.63, 287247, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-16 18:00, 4991.65, 5000.87, 4841.9, 4877.36, 419834, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-17 18:00, 4869.58, 5010.89, 4854.08, 4977.2, 368170, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-18 18:00, 4977.11, 5022.28, 4960.07, 4996.14, 355691, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-19 18:00, 5003.18, 5106.88, 4981.58, 5103.76, 381062, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-22 18:00, 5109.06, 5237.62, 5107.83, 5227.61, 407185, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-23 18:00, 5230.95, 5249.73, 5093.44, 5143.69, 409402, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-24 18:00, 5141.52, 5217.55, 5120.74, 5164.94, 399647, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-25 18:00, 5165.12, 5205.51, 5130.3, 5184.9, 409658, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-02-26 18:00, 5188.23, 5280.78, 5166.99, 5279.95, 408334, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-01 18:00, 5351.8, 5419.15, 5260.7, 5321.97, 524654, NaN, NaN"
2026-04-10T01:00:00.000+03:00,"2026-03-02 18:00, 5334.19, 5379.73, 4996.22, 5088.16, 560340, NaN, NaN"
